Adam  Epoch # 7100/20000 | Loss: 2.3311e-02 =  <3.04e-03> <3.13e-03> <5.02e-04> <8.63e-03> <4.60e-05> <4.95e-04> <6.46e-04> <4.31e-03> <1.37e-04> <7.08e-04> <1.35e-03> <3.10e-04> 
Valid Epoch # 7100/20000 | Loss: 9.1040e-04 
Adam  Epoch # 7200/20000 | Loss: 6.0525e-02 =  <3.06e-03> <3.34e-03> <1.80e-03> <8.67e-03> <3.51e-04> <2.14e-02> <9.05e-04> <4.09e-03> <2.46e-04> <1.36e-02> <2.67e-03> <3.04e-04> 
Valid Epoch # 7200/20000 | Loss: 7.1179e-04 
Adam  Epoch # 7300/20000 | Loss: 2.1678e-02 =  <2.90e-03> <2.94e-03> <4.72e-04> <8.12e-03> <4.01e-05> <4.69e-04> <5.89e-04> <3.89e-03> <1.23e-04> <6.44e-04> <1.22e-03> <2.69e-04> 
Valid Epoch # 7300/20000 | Loss: 6.9009e-04 
Adam  Epoch # 7400/20000 | Loss: 2.0861e-02 =  <2.84e-03> <2.85e-03> <4.52e-04> <7.82e-03> <3.68e-05> <4.59e-04> <5.67e-04> <3.70e-03> <1.15e-04> <6.13e-04> <1.14e-03> <2.55e-04> 
Valid Epoch # 7400/20000 | Loss: 6.2629e-04 
Adam  Epoch # 7500/20000 | Loss: 2.3177e-02 =  <2.74e-03> <2.80e-03> <4.63e-04> <7.84e-03> <5.31e-05> <2.15e-03> <6.94e-04> <3.52e-03> <1.28e-04> <1.53e-03> <1.04e-03> <2.29e-04> 
Valid Epoch # 7500/20000 | Loss: 5.1659e-04 
Adam  Epoch # 7600/20000 | Loss: 1.9558e-02 =  <2.71e-03> <2.68e-03> <4.26e-04> <7.42e-03> <3.17e-05> <4.38e-04> <5.20e-04> <3.40e-03> <1.02e-04> <5.61e-04> <1.04e-03> <2.32e-04> 
Valid Epoch # 7600/20000 | Loss: 4.9131e-04 
Adam  Epoch # 7700/20000 | Loss: 1.8886e-02 =  <2.66e-03> <2.59e-03> <4.10e-04> <7.16e-03> <2.94e-05> <4.27e-04> <5.05e-04> <3.26e-03> <9.59e-05> <5.38e-04> <9.89e-04> <2.19e-04> 
Valid Epoch # 7700/20000 | Loss: 4.4927e-04 
Adam  Epoch # 7800/20000 | Loss: 2.9067e-02 =  <2.57e-03> <2.64e-03> <6.16e-04> <7.25e-03> <1.06e-04> <6.65e-03> <7.83e-04> <3.13e-03> <1.50e-04> <3.92e-03> <1.05e-03> <2.01e-04> 
Valid Epoch # 7800/20000 | Loss: 3.5736e-04 
Adam  Epoch # 7900/20000 | Loss: 1.7785e-02 =  <2.53e-03> <2.43e-03> <3.88e-04> <6.82e-03> <2.54e-05> <4.07e-04> <4.67e-04> <3.03e-03> <8.62e-05> <4.93e-04> <9.09e-04> <2.02e-04> 
Valid Epoch # 7900/20000 | Loss: 3.6365e-04 
Adam  Epoch # 8000/20000 | Loss: 1.7213e-02 =  <2.48e-03> <2.35e-03> <3.73e-04> <6.60e-03> <2.36e-05> <3.99e-04> <4.56e-04> <2.92e-03> <8.13e-05> <4.75e-04> <8.67e-04> <1.92e-04> 
Valid Epoch # 8000/20000 | Loss: 3.4101e-04 
Adam  Epoch # 8100/20000 | Loss: 1.7441e-02 =  <2.41e-03> <2.28e-03> <3.59e-04> <6.55e-03> <2.73e-05> <7.86e-04> <4.56e-04> <2.82e-03> <8.47e-05> <6.84e-04> <8.08e-04> <1.83e-04> 
Valid Epoch # 8100/20000 | Loss: 2.8810e-04 
Adam  Epoch # 8200/20000 | Loss: 1.6272e-02 =  <2.36e-03> <2.20e-03> <3.53e-04> <6.29e-03> <2.05e-05> <3.82e-04> <4.24e-04> <2.75e-03> <7.43e-05> <4.38e-04> <8.01e-04> <1.78e-04> 
Valid Epoch # 8200/20000 | Loss: 2.9222e-04 
Adam  Epoch # 8300/20000 | Loss: 2.2061e-02 =  <2.30e-03> <2.20e-03> <4.76e-04> <6.22e-03> <6.84e-05> <3.94e-03> <5.27e-04> <2.66e-03> <1.04e-04> <2.58e-03> <8.12e-04> <1.69e-04> 
Valid Epoch # 8300/20000 | Loss: 3.0233e-04 
Adam  Epoch # 8400/20000 | Loss: 1.5429e-02 =  <2.25e-03> <2.05e-03> <3.35e-04> <6.02e-03> <1.83e-05> <3.67e-04> <3.94e-04> <2.60e-03> <6.91e-05> <4.06e-04> <7.49e-04> <1.65e-04> 
Valid Epoch # 8400/20000 | Loss: 2.5155e-04 
Adam  Epoch # 8500/20000 | Loss: 1.4968e-02 =  <2.19e-03> <1.99e-03> <3.24e-04> <5.84e-03> <1.73e-05> <3.58e-04> <3.85e-04> <2.54e-03> <6.55e-05> <3.91e-04> <7.13e-04> <1.59e-04> 
Valid Epoch # 8500/20000 | Loss: 2.4771e-04 
